Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1476568800.0 1303.0 66 131 148 NA 107 168 203 NA 5761 551 901 NA 6073 594 953 NA
1476568800.0 134.802 NA 111 198 0 NA 153 259 0 NA 1344 6178 687 NA 1576 6354 709
1476568800.0 134.804 NA 102 205 0 NA 156 269 0 NA 1398 6162 638 NA 1483 6234 654
1476568800.0 134.805 NA 114 203 0 NA 160 271 0 NA 1486 6078 708 NA 1740 6139 719
1476568800.0 134.806 NA 115 206 0 NA 159 267 0 NA 1718 6825 659 NA 1953 6928 665
1476568800.0 134.807 NA 111 203 0 NA 158 271 0 NA 1552 5828 749 NA 1638 5899 760
1476568800.0 134.808 NA 112 203 0 NA 159 272 0 NA 1406 5879 717 NA 1495 6044 735
1476568800.0 17.0 NA 72 161 0 NA 138 213 0 NA 3268 2331 863 NA 3293 2400 883
1476568800.0 36.0 NA 74 166 0 NA 138 224 0 NA 1558 6454 430 NA 1593 6499 451
1476568800.0 4002.0 NA 76 165 NA NA 138 221 NA NA 3809 3403 NA NA 3843 3448 NA
1476568800.0 4006.0 49 93 186 NA 86 148 251 NA 2599 1355 2614 NA 2953 1768 2992 NA
1476568800.0 43.0 NA 77 165 0 NA 138 221 0 NA 3865 4854 1004 NA 3949 4950 1091
1476568800.0 6.0 NA 74 160 0 NA 138 221 0 NA 3230 1794 907 NA 3254 1850 953
