Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1476608400.0 10.0 NA 82 196 0 NA NA 152 256 0 NA NA 2567 2698 919 NA NA 2747 2907 941 NA
1476608400.0 1000.0 NA 220 122 0 38 NA 284 183 0 79 NA 3698 572 913 153 NA 3931 679 960 286
1476608400.0 108.0 55 80 192 NA NA 101 149 253 NA NA 6654 563 944 NA NA 7487 619 1012 NA NA
1476608400.0 109.0 56 80 191 NA NA 102 149 253 NA NA 13467 807 1262 NA NA 13688 882 1350 NA NA
1476608400.0 11.0 NA 79 200 0 52 NA 152 264 0 91 NA 2093 1295 946 51 NA 2193 1365 975 78
1476608400.0 112.0 54 79 189 NA NA 100 149 253 NA NA 6113 500 799 NA NA 6256 518 883 NA NA
1476608400.0 113.0 54 79 189 NA NA 100 149 253 NA NA 6403 494 774 NA NA 6598 520 875 NA NA
1476608400.0 114.0 54 79 191 NA NA 100 149 253 NA NA 5515 514 812 NA NA 5773 543 872 NA NA
1476608400.0 115.0 55 79 190 NA NA 101 149 253 NA NA 7875 522 817 NA NA 8233 549 867 NA NA
1476608400.0 116.0 55 79 191 NA NA 101 149 253 NA NA 7306 519 868 NA NA 7796 567 914 NA NA
1476608400.0 117.0 55 79 189 NA NA 101 149 253 NA NA 13202 805 1223 NA NA 13413 903 1346 NA NA
1476608400.0 118.0 55 80 191 NA NA 101 149 253 NA NA 5673 538 933 NA NA 6463 577 993 NA NA
1476608400.0 12.0 NA 80 197 0 NA NA 152 259 0 NA NA 2250 2891 947 NA NA 2369 3004 976 NA
1476608400.0 125.0 55 77 187 NA NA 101 149 253 NA NA 12764 844 1076 NA NA 12955 1088 1164 NA NA
1476608400.0 1325.0 NA 178 257 0 68 NA 242 315 0 111 NA 1281 3194 4003 261 NA 1356 3357 4125 333
1476608400.0 134.701 NA 40 234 0 NA NA 86 303 0 NA NA 152 6027 846 NA NA 307 7485 876 NA
1476608400.0 134.702 NA 37 228 0 NA NA 84 296 0 NA NA 203 10623 1145 NA NA 247 11044 1187 NA
1476608400.0 134.703 NA 41 238 0 NA NA 88 314 0 NA NA 223 10615 1188 NA NA 398 10952 1263 NA
1476608400.0 134.707 NA 39 230 0 NA NA 86 297 0 NA NA 196 10237 1145 NA NA 246 10584 1187 NA
1476608400.0 134.709 NA 42 234 0 NA NA 88 306 0 NA NA 183 7525 869 NA NA 318 9025 894 NA
1476608400.0 134.71 NA 36 224 0 NA NA 80 291 0 NA NA 140 5146 827 NA NA 186 6539 873 NA
1476608400.0 134.801 NA 40 225 0 NA NA 85 304 0 NA NA 173 5465 812 NA NA 317 6894 849 NA
1476608400.0 134.811 NA 41 233 0 NA NA 86 309 0 NA NA 209 9479 859 NA NA 317 11025 895 NA
1476608400.0 134.812 NA 37 222 0 NA NA 83 290 0 NA NA 173 5638 798 NA NA 318 7049 872 NA
1476608400.0 134.901 NA 39 225 0 NA NA 85 291 0 NA NA 171 5499 795 NA NA 318 6903 847 NA
1476608400.0 134.903 NA 43 224 0 NA NA 89 290 0 NA NA 192 6770 837 NA NA 318 8416 865 NA
1476608400.0 134.904 NA 37 230 0 NA NA 87 297 0 NA NA 235 11218 1099 NA NA 365 11650 1134 NA
1476608400.0 134.907 NA 83 239 0 NA NA 147 309 0 NA NA 424 7070 878 NA NA 664 8686 909 NA
1476608400.0 134.91 NA 40 222 0 NA NA 87 287 0 NA NA 183 6296 846 NA NA 318 7800 869 NA
1476608400.0 134.912 NA 40 222 0 NA NA 83 281 0 NA NA 159 4975 853 NA NA 184 5790 887 NA
1476608400.0 134.99602 NA 40 224 0 NA NA 87 295 0 NA NA 197 6402 828 NA NA 317 7925 870 NA
1476608400.0 134.99901 NA 37 228 0 NA NA 87 294 0 NA NA 203 8670 1210 NA NA 251 9018 1307 NA
1476608400.0 135.11 244 0 108 NA NA 319 0 161 NA NA 2525 805 1230 NA NA 2724 829 1306 NA NA
1476608400.0 135.3 221 0 105 NA NA 291 0 156 NA NA 1408 712 925 NA NA 1546 747 1017 NA NA
