Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1475964000.0 10.0 NA 109 382 0 NA NA NA NA 211 476 0 NA NA NA NA 3586 3606 689 NA NA NA NA 1262 1618 710 NA NA NA
1475964000.0 1000.0 NA 371 136 0 48 NA NA NA 493 194 0 83 NA NA NA 4853 820 560 242 NA NA NA 2569 610 577 290 NA NA
1475964000.0 1003.0 NA 284 0 NA NA NA NA NA 384 0 NA NA NA NA NA 5349 403 NA NA NA NA NA 2153 419 NA NA NA NA
1475964000.0 1004.0 NA 368 137 0 0 0 0 NA 457 182 0 0 0 0 NA 1231 279 9 54 851 756 NA 994 289 12 58 855 760
1475964000.0 101.0 83 NA NA NA NA NA NA 141 NA NA NA NA NA NA 966 NA NA NA NA NA NA 995 NA NA NA NA NA NA
1475964000.0 102.0 85 NA NA NA NA NA NA 140 NA NA NA NA NA NA 607 NA NA NA NA NA NA 637 NA NA NA NA NA NA
1475964000.0 103.0 52 80 344 NA NA NA NA 100 174 419 NA NA NA NA 3054 384 949 NA NA NA NA 1864 397 975 NA NA NA NA
1475964000.0 105.0 80 93 25 NA NA NA NA 152 193 57 NA NA NA NA 4278 642 4 NA NA NA NA 1769 453 7 NA NA NA NA
1475964000.0 106.0 38 0 0 NA NA NA NA 80 0 0 NA NA NA NA 643 222 565 NA NA NA NA 664 233 581 NA NA NA NA
1475964000.0 107.0 87 98 360 NA NA NA NA 154 184 451 NA NA NA NA 7822 671 1053 NA NA NA NA 2693 429 865 NA NA NA NA
1475964000.0 108.0 106 100 373 NA NA NA NA 161 181 460 NA NA NA NA 10814 663 1269 NA NA NA NA 3546 440 954 NA NA NA NA
1475964000.0 109.0 88 100 367 NA NA NA NA 165 188 454 NA NA NA NA 9112 683 1153 NA NA NA NA 2916 448 933 NA NA NA NA
1475964000.0 11.0 NA 103 402 0 64 NA NA NA 214 501 0 97 NA NA NA 2994 1623 675 57 NA NA NA 1081 1144 685 60 NA NA
1475964000.0 110.0 64 81 362 NA NA NA NA 110 179 450 NA NA NA NA 809 282 432 NA NA NA NA 450 208 411 NA NA NA NA
1475964000.0 1102.0 NA 100 378 132 65 NA NA NA 225 452 206 115 NA NA NA 3903 5131 3826 302 NA NA NA 1385 2076 1907 206 NA NA
1475964000.0 111.0 78 97 369 NA NA NA NA 152 191 453 NA NA NA NA 4579 515 916 NA NA NA NA 1883 402 818 NA NA NA NA
1475964000.0 112.0 89 88 359 NA NA NA NA 157 182 446 NA NA NA NA 7033 695 999 NA NA NA NA 2730 496 884 NA NA NA NA
1475964000.0 113.0 90 96 366 NA NA NA NA 168 190 440 NA NA NA NA 7633 636 1001 NA NA NA NA 2638 440 855 NA NA NA NA
1475964000.0 114.0 88 100 364 NA NA NA NA 170 194 451 NA NA NA NA 7526 653 1033 NA NA NA NA 2616 565 856 NA NA NA NA
1475964000.0 115.0 88 97 366 NA NA NA NA 167 189 456 NA NA NA NA 8785 659 1023 NA NA NA NA 2900 447 887 NA NA NA NA
1475964000.0 116.0 89 100 363 NA NA NA NA 161 195 455 NA NA NA NA 10635 697 1134 NA NA NA NA 3396 462 909 NA NA NA NA
1475964000.0 117.0 96 100 365 NA NA NA NA 166 201 453 NA NA NA NA 9895 698 1134 NA NA NA NA 3475 447 893 NA NA NA NA
1475964000.0 118.0 97 103 372 NA NA NA NA 165 194 466 NA NA NA NA 13215 831 1521 NA NA NA NA 4174 564 1185 NA NA NA NA
1475964000.0 119.0 101 95 369 NA NA NA NA 159 193 446 NA NA NA NA 9007 676 1054 NA NA NA NA 2866 448 933 NA NA NA NA
