Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1476568800.0 1000.0 NA 375 127 0 41 NA NA NA NA 481 195 0 84 NA NA NA NA 2762 385 297 101 NA NA NA NA 1696 288 335 161 NA NA NA
1476568800.0 1001.0 NA 343 193 0 0 0 0 0 NA 438 252 0 0 0 0 0 NA 1661 299 4 20 257 26 253 NA 810 392 16 33 263 31 267
1476568800.0 101.0 82 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 1544 NA NA NA NA NA NA NA 1556 NA NA NA NA NA NA NA
1476568800.0 102.0 83 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 842 NA NA NA NA NA NA NA 852 NA NA NA NA NA NA NA
1476568800.0 107.0 85 89 360 NA NA NA NA NA 157 195 449 NA NA NA NA NA 5075 338 561 NA NA NA NA NA 1763 250 490 NA NA NA NA NA
1476568800.0 108.0 89 90 365 NA NA NA NA NA 162 187 445 NA NA NA NA NA 6719 346 721 NA NA NA NA NA 2148 257 519 NA NA NA NA NA
1476568800.0 109.0 90 90 362 NA NA NA NA NA 164 188 462 NA NA NA NA NA 5965 347 681 NA NA NA NA NA 1845 242 588 NA NA NA NA NA
1476568800.0 1102.0 NA 100 374 115 73 NA NA NA NA 225 459 210 116 NA NA NA NA 2853 3511 2794 306 NA NA NA NA 1052 1312 1253 242 NA NA NA
1476568800.0 113.0 87 85 355 NA NA NA NA NA 169 193 445 NA NA NA NA NA 5436 347 544 NA NA NA NA NA 1789 262 486 NA NA NA NA NA
1476568800.0 114.0 89 89 363 NA NA NA NA NA 170 189 453 NA NA NA NA NA 5261 386 545 NA NA NA NA NA 1690 267 453 NA NA NA NA NA
1476568800.0 115.0 88 94 357 NA NA NA NA NA 165 192 449 NA NA NA NA NA 5653 338 548 NA NA NA NA NA 1802 250 513 NA NA NA NA NA
1476568800.0 116.0 89 101 360 NA NA NA NA NA 165 194 451 NA NA NA NA NA 6808 373 613 NA NA NA NA NA 2270 261 478 NA NA NA NA NA
1476568800.0 117.0 86 92 370 NA NA NA NA NA 161 192 467 NA NA NA NA NA 6343 372 569 NA NA NA NA NA 2060 254 454 NA NA NA NA NA
1476568800.0 118.0 97 103 367 NA NA NA NA NA 161 199 447 NA NA NA NA NA 4982 318 549 NA NA NA NA NA 1587 201 386 NA NA NA NA NA
1476568800.0 119.0 89 96 370 NA NA NA NA NA 162 189 457 NA NA NA NA NA 5257 325 546 NA NA NA NA NA 2181 232 468 NA NA NA NA NA
1476568800.0 121.0 88 98 368 NA NA NA NA NA 168 175 459 NA NA NA NA NA 6113 382 662 NA NA NA NA NA 1964 270 522 NA NA NA NA NA
1476568800.0 124.2 333 NA NA NA NA NA NA NA 436 NA NA NA NA NA NA NA 886 NA NA NA NA NA NA NA 572 NA NA NA NA NA NA NA
1476568800.0 124.5 320 NA NA NA NA NA NA NA 416 NA NA NA NA NA NA NA 648 NA NA NA NA NA NA NA 557 NA NA NA NA NA NA NA
1476568800.0 124.6 293 NA NA NA NA NA NA NA 395 NA NA NA NA NA NA NA 630 NA NA NA NA NA NA NA 565 NA NA NA NA NA NA NA
1476568800.0 13.0 NA 91 370 0 NA NA NA NA NA 208 464 0 NA NA NA NA NA 257 792 295 NA NA NA NA NA 281 564 317 NA NA NA NA
1476568800.0 1301.0 87 190 194 NA NA NA NA NA 165 303 296 NA NA NA NA NA 1412 365 580 NA NA NA NA NA 727 277 577 NA NA NA NA NA
1476568800.0 1302.0 100 195 207 NA NA NA NA NA 178 331 314 NA NA NA NA NA 11173 918 2617 NA NA NA NA NA 3601 603 2406 NA NA NA NA NA
1476568800.0 1303.0 109 213 214 NA NA NA NA NA 176 340 315 NA NA NA NA NA 13139 1483 3697 NA NA NA NA NA 4419 801 3036 NA NA NA NA NA
1476568800.0 1311.0 NA 198 457 0 63 NA NA NA NA 345 560 0 108 NA NA NA NA 749 2075 1471 76 NA NA NA NA 546 2010 1492 101 NA NA NA
1476568800.0 132.0 84 93 375 NA NA NA NA NA 155 191 469 NA NA NA NA NA 5489 372 680 NA NA NA NA NA 1950 258 596 NA NA NA NA NA
1476568800.0 1325.0 NA 223 455 0 89 NA NA NA NA 361 579 0 125 NA NA NA NA 974 3357 1330 183 NA NA NA NA 593 2986 1337 207 NA NA NA
1476568800.0 133.0 96 103 381 NA NA NA NA NA 162 196 463 NA NA NA NA NA 5468 338 622 NA NA NA NA NA 1725 220 434 NA NA NA NA NA
1476568800.0 134.701 NA 38 385 0 NA NA NA NA NA 91 490 0 NA NA NA NA NA 140 4338 284 NA NA NA NA NA 161 1913 298 NA NA NA NA
1476568800.0 134.702 NA 45 381 0 NA NA NA NA NA 92 489 0 NA NA NA NA NA 132 4246 250 NA NA NA NA NA 140 1866 258 NA NA NA NA
1476568800.0 134.703 NA 40 392 0 NA NA NA NA NA 93 499 0 NA NA NA NA NA 154 8576 413 NA NA NA NA NA 168 3251 422 NA NA NA NA
1476568800.0 134.704 NA 35 382 0 NA NA NA NA NA 95 486 0 NA NA NA NA NA 151 9131 370 NA NA NA NA NA 227 3572 379 NA NA NA NA
1476568800.0 134.705 NA 39 388 0 NA NA NA NA NA 93 505 0 NA NA NA NA NA 170 9058 409 NA NA NA NA NA 187 3424 418 NA NA NA NA
1476568800.0 134.706 NA 47 395 0 NA NA NA NA NA 92 497 0 NA NA NA NA NA 118 4604 268 NA NA NA NA NA 128 1659 275 NA NA NA NA
1476568800.0 134.707 NA 46 392 0 NA NA NA NA NA 91 484 0 NA NA NA NA NA 131 4103 210 NA NA NA NA NA 128 1501 218 NA NA NA NA
1476568800.0 134.708 NA 47 377 0 NA NA NA NA NA 93 487 0 NA NA NA NA NA 125 5224 279 NA NA NA NA NA 179 3056 288 NA NA NA NA
1476568800.0 134.709 NA 47 411 0 NA NA NA NA NA 90 514 0 NA NA NA NA NA 135 4013 239 NA NA NA NA NA 146 1432 247 NA NA NA NA
1476568800.0 134.71 NA 41 374 0 NA NA NA NA NA 88 473 0 NA NA NA NA NA 109 3786 276 NA NA NA NA NA 139 2720 286 NA NA NA NA
1476568800.0 134.802 NA 45 387 0 NA NA NA NA NA 96 498 0 NA NA NA NA NA 272 9187 387 NA NA NA NA NA 271 3476 395 NA NA NA NA
1476568800.0 134.803 NA 45 386 0 NA NA NA NA NA 92 491 0 NA NA NA NA NA 162 4938 252 NA NA NA NA NA 181 2023 258 NA NA NA NA
1476568800.0 134.804 NA 45 399 0 NA NA NA NA NA 94 509 0 NA NA NA NA NA 183 10623 345 NA NA NA NA NA 242 4056 354 NA NA NA NA
1476568800.0 134.806 NA 37 400 0 NA NA NA NA NA 93 512 0 NA NA NA NA NA 200 10021 333 NA NA NA NA NA 191 3507 342 NA NA NA NA
1476568800.0 134.807 NA 89 415 0 NA NA NA NA NA 159 546 0 NA NA NA NA NA 660 5955 271 NA NA NA NA NA 542 2600 279 NA NA NA NA
1476568800.0 134.808 NA 103 410 0 NA NA NA NA NA 160 538 0 NA NA NA NA NA 2330 6007 269 NA NA NA NA NA 8701 2456 285 NA NA NA NA
1476568800.0 134.809 NA 45 392 0 NA NA NA NA NA 94 497 0 NA NA NA NA NA 156 4807 243 NA NA NA NA NA 167 1653 250 NA NA NA NA
1476568800.0 134.81 NA 34 389 0 NA NA NA NA NA 90 496 0 NA NA NA NA NA 187 9890 418 NA NA NA NA NA 259 3467 425 NA NA NA NA
1476568800.0 134.811 NA 45 401 0 NA NA NA NA NA 97 506 0 NA NA NA NA NA 159 5354 227 NA NA NA NA NA 166 1808 234 NA NA NA NA
1476568800.0 134.812 NA 42 389 0 NA NA NA NA NA 90 480 0 NA NA NA NA NA 134 2910 226 NA NA NA NA NA 135 1194 232 NA NA NA NA
1476568800.0 134.902 NA 46 383 0 NA NA NA NA NA 96 481 0 NA NA NA NA NA 142 3855 250 NA NA NA NA NA 180 1453 258 NA NA NA NA
1476568800.0 134.903 NA 47 380 0 NA NA NA NA NA 93 482 0 NA NA NA NA NA 134 3531 225 NA NA NA NA NA 133 1332 232 NA NA NA NA
1476568800.0 134.904 NA 46 392 0 NA NA NA NA NA 95 491 0 NA NA NA NA NA 145 4165 221 NA NA NA NA NA 282 1498 227 NA NA NA NA
1476568800.0 134.905 NA 46 387 0 NA NA NA NA NA 96 483 0 NA NA NA NA NA 127 3463 228 NA NA NA NA NA 130 1507 236 NA NA NA NA
1476568800.0 134.906 NA 38 377 0 NA NA NA NA NA 94 491 0 NA NA NA NA NA 206 7176 336 NA NA NA NA NA 199 2846 342 NA NA NA NA
1476568800.0 134.907 NA 99 397 0 NA NA NA NA NA 159 514 0 NA NA NA NA NA 630 6715 477 NA NA NA NA NA 2835 2934 483 NA NA NA NA
1476568800.0 134.908 NA 81 393 0 NA NA NA NA NA 161 524 0 NA NA NA NA NA 477 9232 381 NA NA NA NA NA 512 3727 389 NA NA NA NA
1476568800.0 134.91 NA 46 373 0 NA NA NA NA NA 98 489 0 NA NA NA NA NA 156 7530 347 NA NA NA NA NA 158 3203 354 NA NA NA NA
1476568800.0 134.911 NA 38 391 0 NA NA NA NA NA 94 475 0 NA NA NA NA NA 138 3422 228 NA NA NA NA NA 146 1289 235 NA NA NA NA
1476568800.0 134.99601 NA 42 386 0 NA NA NA NA NA 95 500 0 NA NA NA NA NA 220 9631 543 NA NA NA NA NA 211 3513 557 NA NA NA NA
1476568800.0 134.99602 NA 45 379 0 NA NA NA NA NA 95 485 0 NA NA NA NA NA 142 4568 286 NA NA NA NA NA 172 2953 297 NA NA NA NA
1476568800.0 134.99603 NA 45 390 0 NA NA NA NA NA 95 493 0 NA NA NA NA NA 175 4796 227 NA NA NA NA NA 190 1669 235 NA NA NA NA
1476568800.0 134.99901 NA 39 377 0 NA NA NA NA NA 96 481 0 NA NA NA NA NA 222 6444 503 NA NA NA NA NA 215 2633 510 NA NA NA NA
1476568800.0 135.1 409 0 114 NA NA NA NA NA 541 0 189 NA NA NA NA NA 1594 220 499 NA NA NA NA NA 1146 226 790 NA NA NA NA NA
1476568800.0 135.12 401 0 107 NA NA NA NA NA 527 0 194 NA NA NA NA NA 1199 206 371 NA NA NA NA NA 835 212 372 NA NA NA NA NA
1476568800.0 135.2 360 0 105 NA NA NA NA NA 464 0 173 NA NA NA NA NA 888 177 469 NA NA NA NA NA 932 189 850 NA NA NA NA NA
1476568800.0 135.3 361 0 109 NA NA NA NA NA 465 0 184 NA NA NA NA NA 825 179 403 NA NA NA NA NA 860 189 781 NA NA NA NA NA
1476568800.0 135.4 401 0 110 NA NA NA NA NA 527 0 184 NA NA NA NA NA 1441 195 495 NA NA NA NA NA 1150 202 832 NA NA NA NA NA
1476568800.0 135.5 409 0 108 NA NA NA NA NA 527 0 186 NA NA NA NA NA 1341 200 492 NA NA NA NA NA 1100 207 874 NA NA NA NA NA
1476568800.0 135.6 407 0 115 NA NA NA NA NA 541 0 190 NA NA NA NA NA 1536 215 462 NA NA NA NA NA 1214 221 716 NA NA NA NA NA
1476568800.0 135.7 415 0 113 NA NA NA NA NA 532 0 188 NA NA NA NA NA 1515 216 448 NA NA NA NA NA 1101 223 783 NA NA NA NA NA
1476568800.0 135.8 155 NA NA NA NA NA NA NA 248 NA NA NA NA NA NA NA 355 NA NA NA NA NA NA NA 281 NA NA NA NA NA NA NA
1476568800.0 135.9 399 0 110 NA NA NA NA NA 521 0 178 NA NA NA NA NA 844 202 244 NA NA NA NA NA 722 208 269 NA NA NA NA NA
1476568800.0 136.725 NA 225 432 0 NA NA NA NA NA 329 548 0 NA NA NA NA NA 2876 6560 502 NA NA NA NA NA 951 2651 508 NA NA NA NA
1476568800.0 136.727 NA 259 442 0 NA NA NA NA NA 374 568 0 NA NA NA NA NA 3121 6753 492 NA NA NA NA NA 11973 2975 499 NA NA NA NA
1476568800.0 136.728 NA 253 444 0 NA NA NA NA NA 374 564 0 NA NA NA NA NA 3514 7469 528 NA NA NA NA NA 1637 3326 575 NA NA NA NA
1476568800.0 136.732 NA 210 414 0 NA NA NA NA NA 291 520 0 NA NA NA NA NA 2710 8233 720 NA NA NA NA NA 1073 3813 727 NA NA NA NA
1476568800.0 136.7321 NA 147 NA NA NA NA NA NA NA 208 NA NA NA NA NA NA NA 212 NA NA NA NA NA NA NA 261 NA NA NA NA NA NA
1476568800.0 136.735 NA 184 343 0 NA NA NA NA NA 268 439 0 NA NA NA NA NA 1400 3731 697 NA NA NA NA NA 969 2816 705 NA NA NA NA
1476568800.0 1362.0 95 216 451 0 NA NA NA NA 222 330 565 0 NA NA NA NA 2830 452 1474 861 NA NA NA NA 2772 349 1425 870 NA NA NA NA
1476568800.0 1363.0 102 206 456 0 NA NA NA NA 225 321 569 0 NA NA NA NA 4293 484 1373 922 NA NA NA NA 3336 684 1266 949 NA NA NA NA
1476568800.0 139901.0 NA 217 458 0 NA NA NA NA NA 344 553 0 NA NA NA NA NA 840 2907 1317 NA NA NA NA NA 562 2711 1333 NA NA NA NA
1476568800.0 139902.0 NA 216 466 0 NA NA NA NA NA 363 578 0 NA NA NA NA NA 766 3677 1416 NA NA NA NA NA 496 3451 1426 NA NA NA NA
1476568800.0 13992501.0 NA 326 665 0 NA NA NA NA NA 437 857 0 NA NA NA NA NA 2473 3686 992 NA NA NA NA NA 1397 2657 1013 NA NA NA NA
1476568800.0 13992502.0 NA 328 694 0 NA NA NA NA NA 473 854 0 NA NA NA NA NA 2363 3588 913 NA NA NA NA NA 1402 2312 921 NA NA NA NA
1476568800.0 14.0 NA 104 367 0 NA NA NA NA NA 206 453 0 NA NA NA NA NA 1507 1633 378 NA NA NA NA NA 556 880 389 NA NA NA NA
1476568800.0 140.1 NA 170 393 0 NA NA NA NA NA 268 476 0 NA NA NA NA NA 275 541 111 NA NA NA NA NA 399 719 145 NA NA NA NA
