Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1476090000.0 1.0 47 65 116 NA NA NA NA 163 221 275 NA NA NA NA 2708 339 293 NA NA NA NA 2886 376 413 NA NA NA NA
1476090000.0 1000.0 NA 205 116 0 46 NA NA NA 408 264 0 140 NA NA NA 2161 478 462 161 NA NA NA 2598 922 542 364 NA NA
1476090000.0 1002.0 NA 198 58 NA NA NA NA NA 397 141 NA NA NA NA NA 2248 160 NA NA NA NA NA 2450 186 NA NA NA NA
1476090000.0 10023.0 NA 106 207 0 NA NA NA NA 275 415 0 NA NA NA NA 421 726 490 NA NA NA NA 520 829 523 NA NA NA
1476090000.0 10024.0 NA 114 213 0 NA NA NA NA 274 431 0 NA NA NA NA 471 1024 559 NA NA NA NA 589 1288 584 NA NA NA
1476090000.0 10024.2 NA 115 216 0 NA NA NA NA 274 430 0 NA NA NA NA 460 934 522 NA NA NA NA 964 1250 557 NA NA NA
1476090000.0 10024.3 NA 114 131 0 NA NA NA NA 274 311 0 NA NA NA NA 466 414 250 NA NA NA NA 744 496 263 NA NA NA
1476090000.0 10024.4 NA 115 216 0 NA NA NA NA 274 418 0 NA NA NA NA 464 974 509 NA NA NA NA 968 1271 548 NA NA NA
1476090000.0 10026.0 NA 116 216 0 NA NA NA NA 284 418 0 NA NA NA NA 483 1299 508 NA NA NA NA 1118 1487 546 NA NA NA
1476090000.0 1003.0 NA 171 0 NA NA NA NA NA 363 0 NA NA NA NA NA 3088 379 NA NA NA NA NA 3260 396 NA NA NA NA
1476090000.0 1004.0 NA 175 131 0 0 0 0 NA 363 250 0 0 0 0 NA 506 181 5 42 333 311 NA 601 208 10 69 350 315
1476090000.0 105.0 48 81 26 NA NA NA NA 163 229 123 NA NA NA NA 2071 241 2 NA NA NA NA 2234 252 6 NA NA NA NA
1476090000.0 111.0 48 75 185 NA NA NA NA 164 229 390 NA NA NA NA 2892 307 459 NA NA NA NA 3215 351 509 NA NA NA NA
