Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1476478800.0 1.0 46 66 119 NA NA NA NA NA 162 221 275 NA NA NA NA NA 3784 431 405 NA NA NA NA NA 3863 445 417 NA NA NA NA NA
1476478800.0 10.0 NA 86 188 0 NA NA NA NA NA 240 396 0 NA NA NA NA NA 1958 2172 576 NA NA NA NA NA 2025 2248 597 NA NA NA NA
1476478800.0 1000.0 NA 206 115 0 38 NA NA NA NA 408 264 0 140 NA NA NA NA 1973 471 453 133 NA NA NA NA 2083 623 537 1070 NA NA NA
1476478800.0 1001.0 NA 192 170 0 0 0 0 0 NA 382 298 0 0 0 0 0 NA 1485 343 5 46 408 14 396 NA 1589 373 16 51 427 20 405
1476478800.0 1002.0 NA 199 57 NA NA NA NA NA NA 398 141 NA NA NA NA NA NA 2484 159 NA NA NA NA NA NA 2524 166 NA NA NA NA NA
1476478800.0 10021.0 NA 112 212 62 0 NA NA NA NA 273 415 174 0 NA NA NA NA 387 738 70 436 NA NA NA NA 456 880 530 456 NA NA NA
1476478800.0 10023.0 NA 106 211 63 0 NA NA NA NA 273 415 174 0 NA NA NA NA 312 568 63 434 NA NA NA NA 406 633 118 453 NA NA NA
1476478800.0 10024.0 NA 115 213 63 0 NA NA NA NA 273 432 174 0 NA NA NA NA 380 769 64 457 NA NA NA NA 567 859 120 476 NA NA NA
1476478800.0 10024.1 NA 114 150 0 NA NA NA NA NA 274 308 0 NA NA NA NA NA 626 515 451 NA NA NA NA NA 673 551 457 NA NA NA NA
1476478800.0 10024.2 NA 115 216 0 NA NA NA NA NA 273 431 0 NA NA NA NA NA 385 785 495 NA NA NA NA NA 503 932 517 NA NA NA NA
1476478800.0 10024.3 NA 115 144 0 NA NA NA NA NA 274 301 0 NA NA NA NA NA 504 480 409 NA NA NA NA NA 539 514 416 NA NA NA NA
1476478800.0 10024.4 NA 115 211 0 NA NA NA NA NA 273 418 0 NA NA NA NA NA 378 773 475 NA NA NA NA NA 489 987 509 NA NA NA NA
1476478800.0 10024.5 NA 114 141 0 NA NA NA NA NA 274 323 0 NA NA NA NA NA 498 415 380 NA NA NA NA NA 531 459 386 NA NA NA NA
1476478800.0 10025.0 NA 113 217 72 0 NA NA NA NA 274 420 175 0 NA NA NA NA 622 1146 97 834 NA NA NA NA 692 1234 154 864 NA NA NA
1476478800.0 10026.0 NA 115 215 62 0 NA NA NA NA 274 422 175 0 NA NA NA NA 454 1193 93 494 NA NA NA NA 573 1397 498 519 NA NA NA
1476478800.0 1003.0 NA 172 0 NA NA NA NA NA NA 363 0 NA NA NA NA NA NA 4325 486 NA NA NA NA NA NA 4478 508 NA NA NA NA NA
1476478800.0 1004.0 NA 178 130 0 0 0 0 NA NA 364 249 0 0 0 0 NA NA 525 201 6 53 395 381 NA NA 541 212 10 56 399 384 NA
1476478800.0 101.0 80 NA NA NA NA NA NA NA 236 NA NA NA NA NA NA NA 1319 NA NA NA NA NA NA NA 1348 NA NA NA NA NA NA NA
1476478800.0 102.0 82 NA NA NA NA NA NA NA 236 NA NA NA NA NA NA NA 987 NA NA NA NA NA NA NA 1040 NA NA NA NA NA NA NA
1476478800.0 10224.0 NA 154 293 0 NA NA NA NA NA 315 533 0 NA NA NA NA NA 2536 4033 546 NA NA NA NA NA 3100 4376 570 NA NA NA NA
1476478800.0 10225.0 NA 152 290 0 NA NA NA NA NA 311 532 0 NA NA NA NA NA 2709 3493 544 NA NA NA NA NA 3267 3866 570 NA NA NA NA
1476478800.0 103.0 33 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 474 83 184 NA NA NA NA NA 487 106 213 NA NA NA NA NA
1476478800.0 10424.0 53 106 213 71 0 NA NA NA 165 268 441 175 0 NA NA NA 4718 552 926 92 618 NA NA NA 4871 1358 1022 149 637 NA NA NA
1476478800.0 105.0 48 74 26 NA NA NA NA NA 162 239 123 NA NA NA NA NA 2732 286 3 NA NA NA NA NA 2746 310 5 NA NA NA NA NA
1476478800.0 106.0 34 0 0 NA NA NA NA NA 142 0 0 NA NA NA NA NA 455 90 167 NA NA NA NA NA 469 114 190 NA NA NA NA NA
1476478800.0 10624.0 52 114 217 64 0 NA NA NA 166 269 422 177 0 NA NA NA 9439 1067 1641 134 991 NA NA NA 9690 1199 1702 163 1002 NA NA NA
1476478800.0 107.0 48 75 188 NA NA NA NA NA 162 228 390 NA NA NA NA NA 2330 241 316 NA NA NA NA NA 2421 324 582 NA NA NA NA NA
1476478800.0 108.0 51 85 188 NA NA NA NA NA 165 229 390 NA NA NA NA NA 3569 262 399 NA NA NA NA NA 3636 284 437 NA NA NA NA NA
1476478800.0 10824.0 52 109 216 67 0 NA NA NA 166 270 422 176 0 NA NA NA 9303 1095 1767 165 1031 NA NA NA 9533 1218 1850 217 1042 NA NA NA
1476478800.0 109.0 52 84 187 NA NA NA NA NA 165 228 391 NA NA NA NA NA 3328 273 385 NA NA NA NA NA 3403 302 449 NA NA NA NA NA
1476478800.0 11.0 NA 83 196 0 55 NA NA NA NA 239 404 0 158 NA NA NA NA 1519 749 524 19 NA NA NA NA 1732 844 545 27 NA NA NA
1476478800.0 110.0 41 76 185 NA NA NA NA NA 153 228 390 NA NA NA NA NA 745 350 412 NA NA NA NA NA 794 372 455 NA NA NA NA NA
