Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1476694800.0 107.0 49 84 185 NA NA 163 229 390 NA NA 2319 263 319 NA NA 2545 315 360 NA NA
1476694800.0 10824.0 53 117 215 71 0 166 269 422 176 0 3523 494 865 76 547 3725 593 1741 149 579
1476694800.0 109.0 50 84 198 NA NA 166 229 391 NA NA 3512 267 390 NA NA 3708 349 424 NA NA
1476694800.0 114.0 51 77 187 NA NA 165 229 390 NA NA 2999 267 329 NA NA 3106 283 358 NA NA
1476694800.0 115.0 52 85 186 NA NA 166 229 390 NA NA 3009 276 360 NA NA 3071 349 708 NA NA
1476694800.0 121.0 51 80 188 NA NA 165 229 390 NA NA 3589 277 411 NA NA 3770 289 569 NA NA
1476694800.0 125.0 48 73 187 NA NA 163 229 390 NA NA 2605 259 313 NA NA 2674 282 362 NA NA
1476694800.0 1320.0 NA 167 229 0 NA NA 351 436 0 NA NA 400 408 751 NA NA 456 474 771 NA
1476694800.0 1338.0 NA 186 235 0 NA NA 364 446 0 NA NA 457 546 805 NA NA 497 925 830 NA
1476694800.0 1339.0 NA 179 237 0 NA NA 365 450 0 NA NA 577 754 821 NA NA 655 1119 876 NA
1476694800.0 134.802 NA 40 219 0 NA NA 154 411 0 NA NA 183 7552 466 NA NA 336 10437 627 NA
1476694800.0 134.804 NA 34 227 0 NA NA 153 420 0 NA NA 164 5113 316 NA NA 243 6034 340 NA
1476694800.0 134.805 NA 36 224 0 NA NA 156 422 0 NA NA 336 12148 741 NA NA 490 21421 754 NA
1476694800.0 134.806 NA 35 227 0 NA NA 152 420 0 NA NA 168 6521 388 NA NA 220 6809 414 NA
1476694800.0 134.811 NA 35 221 0 NA NA 153 417 0 NA NA 166 5067 302 NA NA 357 6204 315 NA
1476694800.0 134.99603 NA 35 216 0 NA NA 153 410 0 NA NA 328 10955 736 NA NA 409 20566 767 NA
1476694800.0 1348.0 NA 174 233 0 NA NA 357 440 0 NA NA 408 440 797 NA NA 464 503 1277 NA
1476694800.0 135.1 240 0 101 NA NA 455 0 226 NA NA 560 222 150 NA NA 603 254 201 NA NA
1476694800.0 135.11 247 0 102 NA NA 467 0 229 NA NA 973 235 356 NA NA 2167 255 646 NA NA
1476694800.0 135.12 246 0 103 NA NA 451 0 226 NA NA 479 205 135 NA NA 698 212 192 NA NA
1476694800.0 135.4 237 0 100 NA NA 450 0 226 NA NA 496 211 137 NA NA 607 227 174 NA NA
