Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1476046800.0 1.0 72 78 133 NA NA NA NA NA 153 212 209 NA NA NA NA NA 2727 416 208 NA NA NA NA NA 1060 227 209 NA NA NA NA NA
1476046800.0 10.0 NA 103 372 0 NA NA NA NA NA 230 461 0 NA NA NA NA NA 2306 1940 377 NA NA NA NA NA 754 823 383 NA NA NA NA
1476046800.0 1000.0 NA 355 115 0 43 NA NA NA NA 464 188 0 84 NA NA NA NA 1990 651 281 104 NA NA NA NA 914 364 294 103 NA NA NA
1476046800.0 1001.0 NA 339 191 0 0 0 0 0 NA 420 249 0 0 0 0 0 NA 1820 330 3 19 248 16 261 NA 793 335 7 21 251 20 264
1476046800.0 1002.0 NA 327 63 NA NA NA NA NA NA 411 105 NA NA NA NA NA NA 1969 371 NA NA NA NA NA NA 836 127 NA NA NA NA NA
1476046800.0 10021.0 NA 130 368 0 NA NA NA NA NA 256 476 0 NA NA NA NA NA 682 1236 323 NA NA NA NA NA 544 1101 331 NA NA NA NA
1476046800.0 10023.0 NA 128 363 0 NA NA NA NA NA 249 498 0 NA NA NA NA NA 449 1096 299 NA NA NA NA NA 319 1173 363 NA NA NA NA
1476046800.0 10024.0 NA 134 377 0 NA NA NA NA NA 260 495 0 NA NA NA NA NA 726 1920 573 NA NA NA NA NA 426 1621 543 NA NA NA NA
1476046800.0 10024.1 NA 133 237 0 NA NA NA NA NA 259 323 0 NA NA NA NA NA 611 448 182 NA NA NA NA NA 342 338 189 NA NA NA NA
1476046800.0 10024.2 NA 133 385 0 NA NA NA NA NA 265 507 0 NA NA NA NA NA 768 2048 757 NA NA NA NA NA 438 1676 695 NA NA NA NA
1476046800.0 10024.3 NA 131 218 0 NA NA NA NA NA 262 310 0 NA NA NA NA NA 734 520 228 NA NA NA NA NA 417 414 249 NA NA NA NA
1476046800.0 10024.4 NA 143 368 0 NA NA NA NA NA 250 482 0 NA NA NA NA NA 527 1218 324 NA NA NA NA NA 339 1070 331 NA NA NA NA
1476046800.0 10024.5 NA 136 216 0 NA NA NA NA NA 266 305 0 NA NA NA NA NA 626 351 204 NA NA NA NA NA 374 270 210 NA NA NA NA
1476046800.0 10025.0 NA 132 367 0 NA NA NA NA NA 261 485 0 NA NA NA NA NA 959 1814 593 NA NA NA NA NA 585 1637 547 NA NA NA NA
1476046800.0 10026.0 NA 137 387 0 NA NA NA NA NA 268 502 0 NA NA NA NA NA 843 2367 457 NA NA NA NA NA 478 1725 464 NA NA NA NA
1476046800.0 1003.0 NA 274 0 NA NA NA NA NA NA 365 0 NA NA NA NA NA NA 2510 241 NA NA NA NA NA NA 935 226 NA NA NA NA NA
1476046800.0 1004.0 NA 354 131 0 0 0 0 NA NA 457 185 0 0 0 0 NA NA 605 127 4 26 297 201 NA NA 439 124 24 31 300 204 NA
1476046800.0 101.0 80 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 1275 NA NA NA NA NA NA NA 1285 NA NA NA NA NA NA NA
1476046800.0 102.0 80 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 866 NA NA NA NA NA NA NA 877 NA NA NA NA NA NA NA
1476046800.0 10224.0 NA 237 653 0 NA NA NA NA NA 402 862 0 NA NA NA NA NA 2923 5004 364 NA NA NA NA NA 1351 2691 374 NA NA NA NA
