Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1476133200.0 1.0 72 81 130 NA NA NA NA 142 209 205 NA NA NA NA 3284 356 229 NA NA NA NA 1144 205 214 NA NA NA NA
1476133200.0 10.0 NA 105 377 0 NA NA NA NA 221 464 0 NA NA NA NA 5054 4656 753 NA NA NA NA 1525 2025 759 NA NA NA
1476133200.0 1002.0 NA 329 60 NA NA NA NA NA 415 106 NA NA NA NA NA 1816 405 NA NA NA NA NA 869 133 NA NA NA NA
1476133200.0 10021.0 NA 136 375 0 NA NA NA NA 240 487 0 NA NA NA NA 1341 2545 697 NA NA NA NA 727 2181 719 NA NA NA
1476133200.0 10023.0 NA 125 367 0 NA NA NA NA 255 481 0 NA NA NA NA 917 2232 635 NA NA NA NA 798 2168 641 NA NA NA
1476133200.0 10024.0 NA 144 387 0 NA NA NA NA 264 494 0 NA NA NA NA 1136 2599 694 NA NA NA NA 623 2200 701 NA NA NA
1476133200.0 10024.1 NA 136 238 0 NA NA NA NA 247 328 0 NA NA NA NA 600 616 199 NA NA NA NA 358 865 208 NA NA NA
1476133200.0 10024.3 NA 135 220 0 NA NA NA NA 267 341 0 NA NA NA NA 542 459 222 NA NA NA NA 363 345 226 NA NA NA
1476133200.0 10024.4 NA 142 375 0 NA NA NA NA 259 486 0 NA NA NA NA 1165 2554 676 NA NA NA NA 653 2212 683 NA NA NA
1476133200.0 10024.5 NA 135 217 0 NA NA NA NA 264 305 0 NA NA NA NA 575 372 179 NA NA NA NA 366 488 186 NA NA NA
1476133200.0 10026.0 NA 140 388 0 NA NA NA NA 264 492 0 NA NA NA NA 1143 3122 680 NA NA NA NA 613 2397 692 NA NA NA
1476133200.0 1003.0 NA 276 0 NA NA NA NA NA 367 0 NA NA NA NA NA 2473 195 NA NA NA NA NA 940 203 NA NA NA NA
1476133200.0 1004.0 NA 357 126 0 0 0 0 NA 453 182 0 0 0 0 NA 654 110 5 36 244 198 NA 501 134 16 31 255 206
1476133200.0 101.0 81 NA NA NA NA NA NA 143 NA NA NA NA NA NA 875 NA NA NA NA NA NA 912 NA NA NA NA NA NA
1476133200.0 102.0 84 NA NA NA NA NA NA 143 NA NA NA NA NA NA 670 NA NA NA NA NA NA 707 NA NA NA NA NA NA
1476133200.0 10224.0 NA 238 604 0 NA NA NA NA 388 806 0 NA NA NA NA 3167 4433 397 NA NA NA NA 1519 2252 398 NA NA NA
1476133200.0 10225.0 NA 235 598 0 NA NA NA NA 388 813 0 NA NA NA NA 5556 7403 823 NA NA NA NA 2500 3952 831 NA NA NA
1476133200.0 103.0 35 0 0 NA NA NA NA 81 0 0 NA NA NA NA 312 132 327 NA NA NA NA 313 143 338 NA NA NA NA
1476133200.0 10424.0 71 144 378 0 NA NA NA 123 227 494 0 NA NA NA 8338 719 1522 495 NA NA NA 2569 517 1329 506 NA NA NA
1476133200.0 105.0 70 86 24 NA NA NA NA 149 207 61 NA NA NA NA 2611 450 2 NA NA NA NA 1009 273 6 NA NA NA NA
1476133200.0 106.0 34 0 0 NA NA NA NA 79 0 0 NA NA NA NA 337 125 314 NA NA NA NA 338 131 358 NA NA NA NA
1476133200.0 10624.0 70 148 390 0 NA NA NA 123 253 493 0 NA NA NA 17612 1885 3859 993 NA NA NA 5357 1240 3262 1010 NA NA NA
1476133200.0 107.0 91 94 366 NA NA NA NA 169 190 453 NA NA NA NA 10484 932 1164 NA NA NA NA 4101 526 943 NA NA NA NA
1476133200.0 108.0 88 105 373 NA NA NA NA 174 191 451 NA NA NA NA 9097 886 1186 NA NA NA NA 3411 503 897 NA NA NA NA
1476133200.0 10824.0 72 138 391 0 NA NA NA 124 239 503 0 NA NA NA 14157 1808 3755 1084 NA NA NA 4447 1135 3094 1097 NA NA NA
1476133200.0 109.0 92 107 378 NA NA NA NA 164 204 455 NA NA NA NA 12267 952 1278 NA NA NA NA 4248 501 970 NA NA NA NA
1476133200.0 110.0 50 87 356 NA NA NA NA 102 195 447 NA NA NA NA 754 379 443 NA NA NA NA 432 229 415 NA NA NA NA
1476133200.0 1102.0 NA 106 379 121 65 NA NA NA 202 457 182 114 NA NA NA 4970 4678 2833 474 NA NA NA 1533 1784 935 145 NA NA
1476133200.0 111.0 75 101 361 NA NA NA NA 152 217 458 NA NA NA NA 4274 368 490 NA NA NA NA 1559 231 437 NA NA NA NA
