Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1476568800.0 10021.0 NA 124 373 86 0 NA 252 490 122 0 NA 1346 3040 187 714 NA 1737 2686 243 731
1476568800.0 10023.0 NA 136 366 85 0 NA 243 484 120 0 NA 949 2470 322 722 NA 654 2390 224 704
1476568800.0 10024.0 NA 135 382 86 0 NA 251 485 122 0 NA 731 1806 97 493 NA 441 1560 135 503
1476568800.0 10024.4 NA 134 376 0 NA NA 249 482 0 NA NA 1151 2970 765 NA NA 688 2646 847 NA
1476568800.0 10026.0 NA 144 390 87 0 NA 264 496 122 0 NA 721 1978 77 477 NA 460 1506 101 487
1476568800.0 101.0 81 NA NA NA NA 142 NA NA NA NA 840 NA NA NA NA 868 NA NA NA NA
1476568800.0 102.0 81 NA NA NA NA 142 NA NA NA NA 608 NA NA NA NA 647 NA NA NA NA
1476568800.0 10224.0 NA 226 640 0 NA NA 404 829 0 NA NA 3454 4120 406 NA NA 1568 1987 415 NA
1476568800.0 103.0 34 0 0 NA NA 78 0 0 NA NA 307 127 240 NA NA 313 139 253 NA NA
1476568800.0 10424.0 74 138 385 86 0 121 251 497 122 0 7699 972 2098 134 670 2476 661 1805 183 678
1476568800.0 105.0 72 89 23 NA NA 146 209 60 NA NA 2391 396 2 NA NA 965 232 13 NA NA
1476568800.0 106.0 34 0 0 NA NA 78 0 0 NA NA 328 109 275 NA NA 342 130 335 NA NA
1476568800.0 10624.0 74 142 409 87 0 121 257 531 123 0 7165 1026 2283 133 658 2494 698 1880 184 658
1476568800.0 10824.0 72 149 397 86 0 123 239 528 122 0 8442 975 2086 127 673 2822 655 1779 174 686
1476568800.0 109.0 80 104 376 NA NA 167 194 457 NA NA 12766 986 1438 NA NA 4374 551 1065 NA NA
1476568800.0 1102.0 NA 109 389 117 63 NA 235 482 182 114 NA 2905 3067 1940 311 NA 944 1163 643 99
1476568800.0 112.0 76 90 379 NA NA 173 194 473 NA NA 6292 392 538 NA NA 1958 229 548 NA NA
1476568800.0 115.0 78 102 375 NA NA 164 201 462 NA NA 5706 438 565 NA NA 1839 261 448 NA NA
1476568800.0 116.0 75 99 381 NA NA 167 196 476 NA NA 11008 973 1291 NA NA 3875 504 1018 NA NA
1476568800.0 12.0 NA 107 379 0 NA NA 202 479 0 NA NA 1952 1771 405 NA NA 647 788 416 NA
1476568800.0 123.1 340 NA NA NA NA 456 NA NA NA NA 806 NA NA NA NA 495 NA NA NA NA
1476568800.0 123.2 347 NA NA NA NA 478 NA NA NA NA 807 NA NA NA NA 474 NA NA NA NA
1476568800.0 123.3 291 NA NA NA NA 443 NA NA NA NA 533 NA NA NA NA 409 NA NA NA NA
1476568800.0 124.1 321 NA NA NA NA 457 NA NA NA NA 505 NA NA NA NA 371 NA NA NA NA
1476568800.0 124.2 331 NA NA NA NA 478 NA NA NA NA 801 NA NA NA NA 483 NA NA NA NA
1476568800.0 124.4 321 NA NA NA NA 461 NA NA NA NA 578 NA NA NA NA 399 NA NA NA NA
1476568800.0 124.5 320 NA NA NA NA 466 NA NA NA NA 560 NA NA NA NA 408 NA NA NA NA
1476568800.0 124.6 292 NA NA NA NA 429 NA NA NA NA 510 NA NA NA NA 374 NA NA NA NA
1476568800.0 13.0 NA 94 367 0 NA NA 227 462 0 NA NA 338 842 359 NA NA 223 491 376 NA
1476568800.0 1302.0 83 213 190 NA NA 136 333 269 NA NA 8257 794 764 NA NA 3039 462 640 NA NA
1476568800.0 1303.0 84 197 190 NA NA 137 325 255 NA NA 9674 621 723 NA NA 3410 381 431 NA NA
1476568800.0 1306.0 NA 198 436 0 NA NA 343 533 0 NA NA 1009 1571 1359 NA NA 691 1611 1378 NA
1476568800.0 1309.0 NA 226 470 0 NA NA 353 564 0 NA NA 944 1181 952 NA NA 524 906 959 NA
1476568800.0 1310.0 NA 212 458 0 NA NA 337 541 0 NA NA 1371 2002 1478 NA NA 793 2879 1491 NA
1476568800.0 1311.0 NA 204 453 0 67 NA 328 542 0 104 NA 636 902 984 80 NA 449 876 992 132
