Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1475571600.0 1.0 47 75 121 NA NA NA NA NA 92 134 168 NA NA NA NA NA 3786 563 502 NA NA NA NA NA 4202 592 555 NA NA NA NA NA
1475571600.0 10.0 NA 87 189 0 NA NA NA NA NA 152 253 0 NA NA NA NA NA 4195 3942 1111 NA NA NA NA NA 4271 4457 1161 NA NA NA NA
1475571600.0 1000.0 NA 207 123 0 40 NA NA NA NA 275 175 0 78 NA NA NA NA 3605 810 753 264 NA NA NA NA 3923 919 790 313 NA NA NA
1475571600.0 1001.0 NA 189 165 0 0 0 0 0 NA 251 214 0 0 0 0 0 NA 2089 586 6 71 570 30 536 NA 2270 849 128 78 597 36 576
1475571600.0 1002.0 NA 202 64 NA NA NA NA NA NA 262 98 NA NA NA NA NA NA 3874 274 NA NA NA NA NA NA 4101 290 NA NA NA NA NA
1475571600.0 10021.0 NA 155 208 0 NA NA NA NA NA 227 273 0 NA NA NA NA NA 1047 2017 984 NA NA NA NA NA 1404 2278 1025 NA NA NA NA
1475571600.0 10023.0 NA 151 211 0 NA NA NA NA NA 227 273 0 NA NA NA NA NA 430 819 653 NA NA NA NA NA 542 1578 704 NA NA NA NA
1475571600.0 10024.0 NA 158 221 0 NA NA NA NA NA 227 290 0 NA NA NA NA NA 603 1087 621 NA NA NA NA NA 777 1272 655 NA NA NA NA
1475571600.0 10024.1 NA 158 137 0 NA NA NA NA NA 227 184 0 NA NA NA NA NA 805 834 585 NA NA NA NA NA 982 976 602 NA NA NA NA
1475571600.0 10024.2 NA 159 215 0 NA NA NA NA NA 227 289 0 NA NA NA NA NA 828 1682 990 NA NA NA NA NA 3298 2978 1024 NA NA NA NA
1475571600.0 10024.3 NA 158 133 0 NA NA NA NA NA 227 202 0 NA NA NA NA NA 834 920 503 NA NA NA NA NA 960 1376 522 NA NA NA NA
