Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1476608400.0 10024.5 NA 118 141 0 NA NA NA NA 186 196 0 NA NA NA NA 502 449 361 NA NA NA NA 807 548 369 NA NA NA
1476608400.0 1004.0 NA 179 139 0 0 0 0 NA 242 180 0 0 0 0 NA 482 242 21 70 617 615 NA 579 302 28 77 655 624
1476608400.0 105.0 48 80 24 NA NA NA NA 93 143 57 NA NA NA NA 2262 377 3 NA NA NA NA 2417 417 14 NA NA NA NA
1476608400.0 120.0 42 70 184 NA NA NA NA 85 143 250 NA NA NA NA 451 328 344 NA NA NA NA 632 394 525 NA NA NA NA
1476608400.0 122.0 46 74 184 NA NA NA NA 92 143 251 NA NA NA NA 732 236 375 NA NA NA NA 780 281 413 NA NA NA NA
1476608400.0 126.0 47 75 184 NA NA NA NA 87 143 250 NA NA NA NA 1207 362 404 NA NA NA NA 1223 400 432 NA NA NA NA
1476608400.0 130.0 43 77 187 NA NA NA NA 86 143 250 NA NA NA NA 552 279 399 NA NA NA NA 677 301 521 NA NA NA NA
1476608400.0 131.0 43 82 185 NA NA NA NA 88 143 250 NA NA NA NA 1278 299 424 NA NA NA NA 1404 320 467 NA NA NA NA
1476608400.0 135.13 212 0 NA NA NA NA NA 275 0 NA NA NA NA NA 686 329 NA NA NA NA NA 923 372 NA NA NA NA NA
1476608400.0 135.5 233 0 103 NA NA NA NA 307 0 142 NA NA NA NA 466 200 126 NA NA NA NA 803 217 437 NA NA NA NA
1476608400.0 136.722 NA 178 225 0 NA NA NA NA 251 316 0 NA NA NA NA 2933 6037 483 NA NA NA NA 3222 6696 513 NA NA NA
1476608400.0 136.726 NA 183 222 0 NA NA NA NA 245 300 0 NA NA NA NA 3068 6346 495 NA NA NA NA 3362 6919 513 NA NA NA
1476608400.0 136.727 NA 204 237 0 NA NA NA NA 296 311 0 NA NA NA NA 2933 5818 475 NA NA NA NA 3262 6715 496 NA NA NA
1476608400.0 136.728 NA 209 236 0 NA NA NA NA 292 308 0 NA NA NA NA 3207 6281 480 NA NA NA NA 3474 7131 488 NA NA NA
1476608400.0 136.73 NA 183 229 0 NA NA NA NA 242 329 0 NA NA NA NA 2860 6038 478 NA NA NA NA 3120 6703 494 NA NA NA
1476608400.0 136.734 NA 172 236 0 NA NA NA NA 246 301 0 NA NA NA NA 4029 8451 602 NA NA NA NA 4474 9392 700 NA NA NA
1476608400.0 136.752 NA 173 NA NA NA NA NA NA 250 NA NA NA NA NA NA 2800 NA NA NA NA NA NA 6984 NA NA NA NA NA
1476608400.0 140.51 NA 30 180 0 NA NA NA NA 72 238 0 NA NA NA NA 504 1270 267 NA NA NA NA 564 1447 302 NA NA NA
1476608400.0 250402.0 248 0 106 NA NA NA NA 334 0 145 NA NA NA NA 837 213 215 NA NA NA NA 1214 227 528 NA NA NA NA
1476608400.0 250403.0 246 0 106 NA NA NA NA 334 0 145 NA NA NA NA 764 191 184 NA NA NA NA 1303 200 497 NA NA NA NA
1476608400.0 25211.0 57 217 314 0 NA NA NA 156 298 415 0 NA NA NA 4714 2964 3411 1109 NA NA NA 4948 3304 4097 1201 NA NA NA
1476608400.0 5.6 180 0 NA NA NA NA NA 248 0 NA NA NA NA NA 771 314 NA NA NA NA NA 924 347 NA NA NA NA NA
1476608400.0 5.7 174 0 NA NA NA NA NA 244 0 NA NA NA NA NA 656 280 NA NA NA NA NA 751 293 NA NA NA NA NA
1476608400.0 517.0 15 32 0 NA NA NA NA 133 67 0 NA NA NA NA 2233 35 16 NA NA NA NA 2847 71 27 NA NA NA NA
1476608400.0 527.0 14 36 0 NA NA NA NA 133 67 0 NA NA NA NA 2442 45 15 NA NA NA NA 3297 60 40 NA NA NA NA
