Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1476694800.0 136.722 NA 176 236 0 NA 248 317 0 NA 4442 9252 682 NA 4529 10990 707
1476694800.0 136.724 NA 175 239 0 NA 252 302 0 NA 3543 6822 445 NA 3925 7519 467
1476694800.0 136.726 NA 177 231 0 NA 245 300 0 NA 4669 9492 665 NA 4785 11209 687
1476694800.0 20826.0 88 116 212 0 131 287 268 0 11177 2818 2102 284 11468 3076 2180 301
1476694800.0 21226.0 92 114 105 NA 135 287 148 NA 10724 2833 1559 NA 10994 3148 1621 NA
1476694800.0 250200.0 NA 240 269 0 NA 352 348 0 NA 9987 1672 793 NA 11397 1747 807
1476694800.0 250202.0 NA 233 268 0 NA 376 343 0 NA 11861 1935 771 NA 12660 1982 783
1476694800.0 250203.0 NA 241 271 0 NA 359 348 0 NA 10891 1662 770 NA 12610 1731 778
1476694800.0 25213.0 62 215 308 0 155 296 407 0 4262 2222 2348 831 4539 2499 3059 841
1476694800.0 25408.0 291 0 104 NA 402 0 146 NA 5704 414 549 NA 10756 693 666 NA
