Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1475442000.0 1.0 48 74 122 NA NA NA NA NA 107 149 183 NA NA NA NA NA 2801 315 299 NA NA NA NA NA 3206 356 430 NA NA NA NA NA
1475442000.0 10.0 NA 87 190 0 NA NA NA NA NA 170 269 0 NA NA NA NA NA 3304 2871 742 NA NA NA NA NA 3408 2940 749 NA NA NA NA
1475442000.0 1000.0 NA 205 116 0 40 NA NA NA NA 293 194 0 95 NA NA NA NA 2999 652 687 165 NA NA NA NA 3268 1135 701 287 NA NA NA
1475442000.0 1001.0 NA 191 166 0 0 0 0 0 NA 267 231 0 0 0 0 0 NA 2262 360 5 51 346 22 326 NA 2380 384 10 53 352 29 329
1475442000.0 1002.0 NA 202 59 NA NA NA NA NA NA 277 114 NA NA NA NA NA NA 2118 150 NA NA NA NA NA NA 2191 177 NA NA NA NA NA
1475442000.0 10021.0 NA 158 214 0 NA NA NA NA NA 243 287 0 NA NA NA NA NA 522 926 559 NA NA NA NA NA 932 1002 596 NA NA NA NA
1475442000.0 10023.0 NA 152 208 0 NA NA NA NA NA 243 287 0 NA NA NA NA NA 421 779 562 NA NA NA NA NA 1073 1271 590 NA NA NA NA
1475442000.0 10024.0 NA 157 214 0 NA NA NA NA NA 245 305 0 NA NA NA NA NA 748 1390 692 NA NA NA NA NA 956 1525 745 NA NA NA NA
1475442000.0 10024.1 NA 159 139 0 NA NA NA NA NA 243 201 0 NA NA NA NA NA 490 467 352 NA NA NA NA NA 941 584 360 NA NA NA NA
1475442000.0 10024.2 NA 159 213 0 NA NA NA NA NA 245 304 0 NA NA NA NA NA 716 1408 768 NA NA NA NA NA 861 1606 813 NA NA NA NA
