Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1475528400.0 1.0 72 80 134 NA NA NA NA NA 151 197 188 NA NA NA NA NA 3742 741 456 NA NA NA NA NA 1728 403 409 NA NA NA NA NA
1475528400.0 10.0 NA 109 375 0 NA NA NA NA NA 228 452 0 NA NA NA NA NA 3447 3667 593 NA NA NA NA NA 1367 1447 606 NA NA NA NA
1475528400.0 1000.0 NA 364 129 0 47 NA NA NA NA 445 186 0 83 NA NA NA NA 3345 1107 454 180 NA NA NA NA 1455 680 669 152 NA NA NA
1475528400.0 1001.0 NA 338 199 0 0 0 0 0 NA 421 245 0 0 0 0 0 NA 3649 859 9 51 799 32 795 NA 1709 752 12 44 803 48 800
1475528400.0 1002.0 NA 334 61 NA NA NA NA NA NA 406 104 NA NA NA NA NA NA 3617 710 NA NA NA NA NA NA 1714 220 NA NA NA NA NA
1475528400.0 10021.0 NA 176 372 0 NA NA NA NA NA 283 480 0 NA NA NA NA NA 1385 2909 703 NA NA NA NA NA 751 2511 714 NA NA NA NA
1475528400.0 10023.0 NA 170 367 0 NA NA NA NA NA 287 478 0 NA NA NA NA NA 956 2365 660 NA NA NA NA NA 622 2264 683 NA NA NA NA
1475528400.0 10024.0 NA 186 380 0 NA NA NA NA NA 306 494 0 NA NA NA NA NA 1153 2795 787 NA NA NA NA NA 675 2383 746 NA NA NA NA
1475528400.0 10024.1 NA 176 248 0 NA NA NA NA NA 292 338 0 NA NA NA NA NA 1228 807 422 NA NA NA NA NA 734 654 434 NA NA NA NA
1475528400.0 10024.2 NA 181 373 0 NA NA NA NA NA 293 515 0 NA NA NA NA NA 1112 2888 803 NA NA NA NA NA 681 2462 760 NA NA NA NA
1475528400.0 10024.3 NA 191 222 0 NA NA NA NA NA 298 321 0 NA NA NA NA NA 1067 801 376 NA NA NA NA NA 945 641 385 NA NA NA NA
1475528400.0 10024.4 NA 179 369 0 NA NA NA NA NA 308 480 0 NA NA NA NA NA 1129 2837 729 NA NA NA NA NA 678 2448 739 NA NA NA NA
1475528400.0 10024.5 NA 180 223 0 NA NA NA NA NA 303 307 0 NA NA NA NA NA 1072 692 345 NA NA NA NA NA 673 569 448 NA NA NA NA
1475528400.0 10025.0 NA 179 371 0 NA NA NA NA NA 289 483 0 NA NA NA NA NA 1098 2542 742 NA NA NA NA NA 651 2336 751 NA NA NA NA
1475528400.0 10026.0 NA 186 382 0 NA NA NA NA NA 290 506 0 NA NA NA NA NA 1171 3601 764 NA NA NA NA NA 655 2848 779 NA NA NA NA
1475528400.0 1003.0 NA 280 0 NA NA NA NA NA NA 366 0 NA NA NA NA NA NA 4969 434 NA NA NA NA NA NA 1990 450 NA NA NA NA NA
1475528400.0 1004.0 NA 371 131 0 0 0 0 NA NA 468 182 0 0 0 0 NA NA 1299 278 9 38 805 707 NA NA 920 285 11 47 811 709 NA
1475528400.0 101.0 102 NA NA NA NA NA NA NA 170 NA NA NA NA NA NA NA 438 NA NA NA NA NA NA NA 478 NA NA NA NA NA NA NA
1475528400.0 102.0 101 NA NA NA NA NA NA NA 170 NA NA NA NA NA NA NA 447 NA NA NA NA NA NA NA 478 NA NA NA NA NA NA NA
1475528400.0 10224.0 NA 267 621 0 NA NA NA NA NA 408 787 0 NA NA NA NA NA 5336 8303 772 NA NA NA NA NA 2756 4493 788 NA NA NA NA
1475528400.0 10225.0 NA 275 619 0 NA NA NA NA NA 409 792 0 NA NA NA NA NA 2342 3611 401 NA NA NA NA NA 1098 2054 422 NA NA NA NA
1475528400.0 103.0 35 0 0 NA NA NA NA NA 79 0 0 NA NA NA NA NA 328 116 273 NA NA NA NA NA 344 124 291 NA NA NA NA NA
1475528400.0 10424.0 84 178 378 0 NA NA NA NA 139 270 511 0 NA NA NA NA 10445 1495 3547 1057 NA NA NA NA 3487 1025 3052 1068 NA NA NA NA
1475528400.0 105.0 72 85 27 NA NA NA NA NA 152 188 60 NA NA NA NA NA 2375 375 2 NA NA NA NA NA 1042 235 13 NA NA NA NA NA
1475528400.0 106.0 34 0 0 NA NA NA NA NA 79 0 0 NA NA NA NA NA 316 120 265 NA NA NA NA NA 321 145 295 NA NA NA NA NA
1475528400.0 10624.0 86 187 386 0 NA NA NA NA 139 303 518 0 NA NA NA NA 9822 1631 3926 1040 NA NA NA NA 3518 1092 3070 1030 NA NA NA NA
1475528400.0 107.0 76 100 363 NA NA NA NA NA 168 195 464 NA NA NA NA NA 8613 803 1009 NA NA NA NA NA 2912 441 884 NA NA NA NA NA
1475528400.0 108.0 80 100 372 NA NA NA NA NA 168 193 454 NA NA NA NA NA 10942 670 1140 NA NA NA NA NA 3956 392 809 NA NA NA NA NA
1475528400.0 10824.0 95 192 389 0 NA NA NA NA 139 305 528 0 NA NA NA NA 10228 1730 3532 1027 NA NA NA NA 3441 1368 2863 1007 NA NA NA NA
1475528400.0 109.0 81 106 367 NA NA NA NA NA 163 212 452 NA NA NA NA NA 11193 889 1510 NA NA NA NA NA 4136 515 1152 NA NA NA NA NA
1475528400.0 11.0 NA 108 400 0 58 NA NA NA NA 217 482 0 95 NA NA NA NA 1976 1218 534 32 NA NA NA NA 688 764 865 207 NA NA NA
1475528400.0 110.0 52 90 369 NA NA NA NA NA 99 190 450 NA NA NA NA NA 1625 827 1028 NA NA NA NA NA 929 478 968 NA NA NA NA NA
1475528400.0 1102.0 NA 110 384 120 64 NA NA NA NA 217 486 182 113 NA NA NA NA 3095 4284 2558 400 NA NA NA NA 1005 1722 937 130 NA NA NA
1475528400.0 111.0 78 101 373 NA NA NA NA NA 157 191 466 NA NA NA NA NA 5002 767 1162 NA NA NA NA NA 1959 477 973 NA NA NA NA NA
1475528400.0 112.0 80 100 364 NA NA NA NA NA 163 186 445 NA NA NA NA NA 7109 591 775 NA NA NA NA NA 2317 438 658 NA NA NA NA NA
1475528400.0 113.0 78 94 361 NA NA NA NA NA 163 187 449 NA NA NA NA NA 8280 570 786 NA NA NA NA NA 2923 348 683 NA NA NA NA NA
1475528400.0 114.0 71 102 360 NA NA NA NA NA 168 195 436 NA NA NA NA NA 7311 550 719 NA NA NA NA NA 2391 327 595 NA NA NA NA NA
1475528400.0 115.0 83 102 369 NA NA NA NA NA 166 197 461 NA NA NA NA NA 9514 680 975 NA NA NA NA NA 3308 387 794 NA NA NA NA NA
1475528400.0 116.0 74 101 362 NA NA NA NA NA 158 189 450 NA NA NA NA NA 7862 844 1222 NA NA NA NA NA 3492 519 974 NA NA NA NA NA
1475528400.0 117.0 80 100 375 NA NA NA NA NA 165 194 462 NA NA NA NA NA 8725 800 1127 NA NA NA NA NA 2819 478 873 NA NA NA NA NA
1475528400.0 118.0 83 98 382 NA NA NA NA NA 159 190 475 NA NA NA NA NA 9659 696 1005 NA NA NA NA NA 3319 415 790 NA NA NA NA NA
1475528400.0 119.0 77 94 371 NA NA NA NA NA 158 192 457 NA NA NA NA NA 6141 586 703 NA NA NA NA NA 1989 365 625 NA NA NA NA NA
1475528400.0 12.0 NA 108 378 0 NA NA NA NA NA 224 464 0 NA NA NA NA NA 2806 3005 556 NA NA NA NA NA 925 1606 574 NA NA NA NA
1475528400.0 120.0 60 85 375 NA NA NA NA NA 110 193 464 NA NA NA NA NA 1395 806 1004 NA NA NA NA NA 844 468 962 NA NA NA NA NA
1475528400.0 121.0 78 97 370 NA NA NA NA NA 167 195 462 NA NA NA NA NA 10127 670 1133 NA NA NA NA NA 3848 386 831 NA NA NA NA NA
1475528400.0 122.0 57 84 361 NA NA NA NA NA 111 183 448 NA NA NA NA NA 1739 429 815 NA NA NA NA NA 1146 387 807 NA NA NA NA NA
1475528400.0 123.1 328 NA NA NA NA NA NA NA 460 NA NA NA NA NA NA NA 791 NA NA NA NA NA NA NA 441 NA NA NA NA NA NA NA
1475528400.0 123.2 340 NA NA NA NA NA NA NA 458 NA NA NA NA NA NA NA 822 NA NA NA NA NA NA NA 535 NA NA NA NA NA NA NA
1475528400.0 123.3 287 NA NA NA NA NA NA NA 416 NA NA NA NA NA NA NA 532 NA NA NA NA NA NA NA 379 NA NA NA NA NA NA NA
1475528400.0 124.1 317 NA NA NA NA NA NA NA 445 NA NA NA NA NA NA NA 531 NA NA NA NA NA NA NA 424 NA NA NA NA NA NA NA
1475528400.0 124.2 326 NA NA NA NA NA NA NA 473 NA NA NA NA NA NA NA 801 NA NA NA NA NA NA NA 444 NA NA NA NA NA NA NA
1475528400.0 124.4 314 NA NA NA NA NA NA NA 450 NA NA NA NA NA NA NA 541 NA NA NA NA NA NA NA 389 NA NA NA NA NA NA NA
1475528400.0 124.5 316 NA NA NA NA NA NA NA 449 NA NA NA NA NA NA NA 537 NA NA NA NA NA NA NA 382 NA NA NA NA NA NA NA
1475528400.0 124.6 289 NA NA NA NA NA NA NA 421 NA NA NA NA NA NA NA 533 NA NA NA NA NA NA NA 391 NA NA NA NA NA NA NA
1475528400.0 125.0 80 99 370 NA NA NA NA NA 161 196 471 NA NA NA NA NA 7109 552 780 NA NA NA NA NA 2463 373 775 NA NA NA NA NA
1475528400.0 126.0 57 95 378 NA NA NA NA NA 111 186 456 NA NA NA NA NA 3020 742 1141 NA NA NA NA NA 1473 430 1084 NA NA NA NA NA
1475528400.0 127.0 62 85 358 NA NA NA NA NA 109 185 447 NA NA NA NA NA 2300 709 899 NA NA NA NA NA 1107 440 825 NA NA NA NA NA
1475528400.0 128.0 49 86 369 NA NA NA NA NA 96 194 449 NA NA NA NA NA 1306 847 1033 NA NA NA NA NA 831 485 924 NA NA NA NA NA
1475528400.0 129.0 51 86 355 NA NA NA NA NA 102 184 440 NA NA NA NA NA 1420 802 1036 NA NA NA NA NA 876 465 943 NA NA NA NA NA
1475528400.0 13.0 NA 101 367 0 NA NA NA NA NA 207 466 0 NA NA NA NA NA 731 1562 622 NA NA NA NA NA 438 943 636 NA NA NA NA
1475528400.0 130.0 52 96 356 NA NA NA NA NA 102 181 443 NA NA NA NA NA 1575 777 1051 NA NA NA NA NA 900 451 951 NA NA NA NA NA
1475528400.0 1301.0 74 224 171 NA NA NA NA NA 126 331 266 NA NA NA NA NA 3159 945 747 NA NA NA NA NA 1621 650 754 NA NA NA NA NA
1475528400.0 1302.0 84 243 181 NA NA NA NA NA 138 363 263 NA NA NA NA NA 7232 792 688 NA NA NA NA NA 2547 505 548 NA NA NA NA NA
1475528400.0 1303.0 84 249 189 NA NA NA NA NA 137 358 267 NA NA NA NA NA 12025 940 978 NA NA NA NA NA 4337 604 619 NA NA NA NA NA
1475528400.0 1306.0 NA 240 436 0 NA NA NA NA NA 368 515 0 NA NA NA NA NA 1031 1389 1343 NA NA NA NA NA 670 1318 1358 NA NA NA NA
1475528400.0 1307.0 NA 224 208 54 0 NA NA NA NA 341 271 89 0 NA NA NA NA 808 692 59 343 NA NA NA NA 797 965 280 357 NA NA NA
1475528400.0 1308.0 NA 229 198 54 0 NA NA NA NA 355 269 88 0 NA NA NA NA 625 621 53 304 NA NA NA NA 659 649 56 315 NA NA NA
1475528400.0 1309.0 NA 260 462 0 NA NA NA NA NA 394 538 0 NA NA NA NA NA 1422 2064 1518 NA NA NA NA NA 818 1582 1497 NA NA NA NA
1475528400.0 131.0 60 87 372 NA NA NA NA NA 101 183 462 NA NA NA NA NA 2505 782 1169 NA NA NA NA NA 1203 444 1030 NA NA NA NA NA
1475528400.0 1311.0 NA 248 458 0 69 NA NA NA NA 355 539 0 105 NA NA NA NA 720 1228 1078 86 NA NA NA NA 491 1166 1092 206 NA NA NA
1475528400.0 1312.0 NA 260 457 0 NA NA NA NA NA 383 547 0 NA NA NA NA NA 1343 1855 1509 NA NA NA NA NA 739 1471 1529 NA NA NA NA
1475528400.0 1313.0 NA 271 456 0 NA NA NA NA NA 365 534 0 NA NA NA NA NA 1531 2819 1441 NA NA NA NA NA 863 1904 1428 NA NA NA NA
1475528400.0 1314.0 NA 257 441 0 NA NA NA NA NA 381 533 0 NA NA NA NA NA 899 1531 1137 NA NA NA NA NA 630 1373 1160 NA NA NA NA
1475528400.0 1315.0 NA 244 450 0 NA NA NA NA NA 346 539 0 NA NA NA NA NA 803 1204 1082 NA NA NA NA NA 809 1200 1134 NA NA NA NA
1475528400.0 1316.0 NA 249 440 0 NA NA NA NA NA 375 518 0 NA NA NA NA NA 1032 1571 1398 NA NA NA NA NA 705 1464 1414 NA NA NA NA
1475528400.0 1317.0 NA 243 440 0 NA NA NA NA NA 381 527 0 NA NA NA NA NA 763 1258 1071 NA NA NA NA NA 520 1184 1092 NA NA NA NA
1475528400.0 1318.0 NA 249 433 0 NA NA NA NA NA 362 525 0 NA NA NA NA NA 788 1124 1035 NA NA NA NA NA 577 1073 1058 NA NA NA NA
1475528400.0 1319.0 NA 240 442 0 NA NA NA NA NA 381 521 0 NA NA NA NA NA 796 1197 948 NA NA NA NA NA 762 1186 999 NA NA NA NA
1475528400.0 132.0 77 101 367 NA NA NA NA NA 151 199 451 NA NA NA NA NA 8126 612 874 NA NA NA NA NA 2709 361 705 NA NA NA NA NA
1475528400.0 1320.0 NA 241 449 0 NA NA NA NA NA 383 539 0 NA NA NA NA NA 902 1493 1083 NA NA NA NA NA 697 1465 1129 NA NA NA NA
1475528400.0 1321.0 NA 250 437 0 NA NA NA NA NA 370 538 0 NA NA NA NA NA 1102 1635 1424 NA NA NA NA NA 837 1565 1445 NA NA NA NA
1475528400.0 1322.0 NA 238 442 0 NA NA NA NA NA 381 535 0 NA NA NA NA NA 825 1231 938 NA NA NA NA NA 518 1116 953 NA NA NA NA
1475528400.0 1323.0 NA 241 447 0 NA NA NA NA NA 342 537 0 NA NA NA NA NA 993 1376 1475 NA NA NA NA NA 678 1585 1457 NA NA NA NA
1475528400.0 1324.0 NA 271 455 0 NA NA NA NA NA 398 532 0 NA NA NA NA NA 1389 1855 1452 NA NA NA NA NA 792 1479 1457 NA NA NA NA
1475528400.0 1325.0 NA 265 452 0 84 NA NA NA NA 396 550 0 120 NA NA NA NA 941 1464 1082 176 NA NA NA NA 564 1186 1059 232 NA NA NA
1475528400.0 1325.1 NA 258 224 0 NA NA NA NA NA 392 282 0 NA NA NA NA NA 887 580 253 NA NA NA NA NA 898 512 264 NA NA NA NA
1475528400.0 1325.2 NA 255 449 0 NA NA NA NA NA 399 543 0 NA NA NA NA NA 1354 2055 1514 NA NA NA NA NA 795 1647 1536 NA NA NA NA
1475528400.0 1325.3 NA 265 210 0 NA NA NA NA NA 396 290 0 NA NA NA NA NA 905 469 234 NA NA NA NA NA 711 420 242 NA NA NA NA
1475528400.0 1325.4 NA 264 458 0 NA NA NA NA NA 392 538 0 NA NA NA NA NA 1442 2082 1424 NA NA NA NA NA 819 1711 1440 NA NA NA NA
1475528400.0 1326.0 NA 257 444 0 NA NA NA NA NA 372 538 0 NA NA NA NA NA 1182 1802 1470 NA NA NA NA NA 751 1609 1485 NA NA NA NA
1475528400.0 1327.0 NA 249 441 0 NA NA NA NA NA 381 532 0 NA NA NA NA NA 1142 1667 1472 NA NA NA NA NA 791 1471 1506 NA NA NA NA
1475528400.0 1328.0 NA 254 449 0 NA NA NA NA NA 399 539 0 NA NA NA NA NA 1119 1399 1070 NA NA NA NA NA 676 1266 1080 NA NA NA NA
1475528400.0 1329.0 NA 254 450 0 NA NA NA NA NA 376 542 0 NA NA NA NA NA 1364 1681 1427 NA NA NA NA NA 1025 1462 1452 NA NA NA NA
1475528400.0 133.0 84 102 370 NA NA NA NA NA 158 204 465 NA NA NA NA NA 12778 994 1593 NA NA NA NA NA 4284 1185 1244 NA NA NA NA NA
1475528400.0 1330.0 NA 260 459 0 NA NA NA NA NA 377 542 0 NA NA NA NA NA 1238 1914 1444 NA NA NA NA NA 785 1516 1470 NA NA NA NA
1475528400.0 1331.0 NA 261 450 0 NA NA NA NA NA 382 530 0 NA NA NA NA NA 902 1525 1124 NA NA NA NA NA 701 1465 1162 NA NA NA NA
