Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1476608400.0 1.0 71 76 131 NA NA NA NA 147 200 207 NA NA NA NA 2526 346 229 NA NA NA NA 1086 211 209 NA NA NA NA
1476608400.0 10.0 NA 103 387 0 NA NA NA NA 232 483 0 NA NA NA NA 2976 3100 584 NA NA NA NA 933 1253 585 NA NA NA
1476608400.0 1002.0 NA 331 59 NA NA NA NA NA 413 105 NA NA NA NA NA 1888 318 NA NA NA NA NA 824 100 NA NA NA NA
1476608400.0 10024.1 NA 135 299 0 NA NA NA NA 260 392 0 NA NA NA NA 549 419 266 NA NA NA NA 366 346 271 NA NA NA
1476608400.0 10024.3 NA 134 268 0 NA NA NA NA 269 383 0 NA NA NA NA 552 416 243 NA NA NA NA 352 449 251 NA NA NA
1476608400.0 10024.5 NA 133 267 0 NA NA NA NA 266 368 0 NA NA NA NA 563 401 241 NA NA NA NA 352 340 252 NA NA NA
1476608400.0 1003.0 NA 274 0 NA NA NA NA NA 368 0 NA NA NA NA NA 2530 195 NA NA NA NA NA 985 204 NA NA NA NA
1476608400.0 1004.0 NA 358 130 0 0 0 0 NA 449 181 0 0 0 0 NA 599 110 4 29 244 214 NA 455 118 8 24 248 218
1476608400.0 101.0 81 NA NA NA NA NA NA 142 NA NA NA NA NA NA 878 NA NA NA NA NA NA 897 NA NA NA NA NA NA
1476608400.0 102.0 81 NA NA NA NA NA NA 142 NA NA NA NA NA NA 681 NA NA NA NA NA NA 726 NA NA NA NA NA NA
1476608400.0 10224.0 NA 239 638 0 NA NA NA NA 391 837 0 NA NA NA NA 4090 5546 549 NA NA NA NA 1876 2871 554 NA NA NA
1476608400.0 10225.0 NA 238 605 0 NA NA NA NA 390 810 0 NA NA NA NA 4027 6103 518 NA NA NA NA 2090 3061 523 NA NA NA
1476608400.0 103.0 34 0 0 NA NA NA NA 79 0 0 NA NA NA NA 331 107 244 NA NA NA NA 335 114 346 NA NA NA NA
