Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1475830800.0 1.0 53 74 141 NA NA NA NA NA 101 138 174 NA NA NA NA NA 3316 579 503 NA NA NA NA NA 3348 683 1215 NA NA NA NA NA
1475830800.0 10.0 NA 94 214 0 NA NA NA NA NA 160 264 0 NA NA NA NA NA 4563 4193 1080 NA NA NA NA NA 4723 4428 1211 NA NA NA NA
1475830800.0 1000.0 NA 232 136 0 55 NA NA NA NA 286 185 0 83 NA NA NA NA 3957 712 959 177 NA NA NA NA 4334 838 995 324 NA NA NA
1475830800.0 1001.0 NA 211 183 0 0 0 0 0 NA 262 218 0 0 0 0 0 NA 3594 500 9 92 969 26 966 NA 3851 661 124 221 1089 150 977
1475830800.0 1002.0 NA 226 71 NA NA NA NA NA NA 275 101 NA NA NA NA NA NA 3883 240 NA NA NA NA NA NA 4853 248 NA NA NA NA NA
1475830800.0 10021.0 NA 119 234 0 NA NA NA NA NA 206 301 0 NA NA NA NA NA 881 2143 1521 NA NA NA NA NA 1153 2453 1673 NA NA NA NA
1475830800.0 10023.0 NA 127 231 0 NA NA NA NA NA 206 301 0 NA NA NA NA NA 723 2007 1235 NA NA NA NA NA 884 2284 1279 NA NA NA NA
1475830800.0 10024.0 NA 123 237 0 NA NA NA NA NA 206 301 0 NA NA NA NA NA 872 2292 1539 NA NA NA NA NA 1023 2498 1693 NA NA NA NA
1475830800.0 10024.1 NA 133 155 0 NA NA NA NA NA 206 202 0 NA NA NA NA NA 840 773 666 NA NA NA NA NA 2275 987 811 NA NA NA NA
1475830800.0 10024.2 NA 127 236 0 NA NA NA NA NA 206 300 0 NA NA NA NA NA 866 2350 1525 NA NA NA NA NA 1189 2726 1680 NA NA NA NA
1475830800.0 10024.3 NA 124 149 0 NA NA NA NA NA 206 198 0 NA NA NA NA NA 862 741 631 NA NA NA NA NA 999 1128 639 NA NA NA NA
1475830800.0 10024.4 NA 124 235 0 NA NA NA NA NA 206 300 0 NA NA NA NA NA 870 2300 1466 NA NA NA NA NA 1020 2627 1506 NA NA NA NA
1475830800.0 10024.5 NA 131 146 0 NA NA NA NA NA 206 199 0 NA NA NA NA NA 860 691 632 NA NA NA NA NA 995 1049 748 NA NA NA NA
