Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1476090000.0 1.0 53 74 141 NA NA 100 138 174 NA NA 3170 567 485 NA NA 3417 2318 1388 NA NA
1476090000.0 10.0 NA 96 214 0 NA NA 161 264 0 NA NA 4514 4164 1107 NA NA 4624 4452 1144 NA
1476090000.0 101.0 92 NA NA NA NA 147 NA NA NA NA 2241 NA NA NA NA 2418 NA NA NA NA
1476090000.0 102.0 92 NA NA NA NA 146 NA NA NA NA 1627 NA NA NA NA 1849 NA NA NA NA
1476090000.0 10224.0 NA 164 323 0 NA NA 239 389 0 NA NA 4272 8398 1675 NA NA 4787 8879 1729 NA
1476090000.0 10225.0 NA 161 304 0 NA NA 230 387 0 NA NA 4131 7562 1428 NA NA 4645 7905 1480 NA
1476090000.0 103.0 41 0 0 NA NA 77 0 0 NA NA 798 140 276 NA NA 1131 272 492 NA NA
1476090000.0 10424.0 61 129 233 0 NA 98 195 299 0 NA 11281 1162 2654 1804 NA 11416 1422 2929 1831 NA
1476090000.0 105.0 53 81 29 NA NA 100 146 57 NA NA 3216 630 5 NA NA 3289 699 111 NA NA
1476090000.0 106.0 42 0 0 NA NA 77 0 0 NA NA 789 138 276 NA NA 803 639 395 NA NA
1476090000.0 10624.0 58 131 241 0 NA 98 195 304 0 NA 10991 1366 2725 1864 NA 11104 1605 3064 1908 NA
1476090000.0 107.0 53 94 212 NA NA 105 146 255 NA NA 5650 640 829 NA NA 5803 817 1233 NA NA
1476090000.0 108.0 57 86 210 NA NA 102 147 257 NA NA 9603 704 1045 NA NA 9805 821 1361 NA NA
1476090000.0 10824.0 72 137 242 0 NA 98 195 303 0 NA 11316 1407 2725 1825 NA 11590 1558 3117 1982 NA
1476090000.0 109.0 58 84 212 NA NA 104 146 257 NA NA 9187 708 1020 NA NA 9375 921 1344 NA NA
1476090000.0 110.0 48 91 207 NA NA 89 146 252 NA NA 1197 616 658 NA NA 1420 798 926 NA NA
1476090000.0 1102.0 NA 94 224 132 88 NA 159 263 156 109 NA 4707 5555 3201 216 NA 5198 5887 3465 220
1476090000.0 111.0 54 87 209 NA NA 103 146 254 NA NA 3453 492 736 NA NA 3848 686 1079 NA NA
1476090000.0 112.0 54 97 209 NA NA 102 147 254 NA NA 5287 666 783 NA NA 5412 831 1153 NA NA
1476090000.0 113.0 56 93 210 NA NA 108 147 255 NA NA 6801 686 826 NA NA 6937 899 975 NA NA
1476090000.0 114.0 54 97 212 NA NA 106 147 256 NA NA 6704 689 849 NA NA 6854 927 1071 NA NA
1476090000.0 115.0 56 87 210 NA NA 106 147 257 NA NA 7016 701 952 NA NA 7145 930 1293 NA NA
1476090000.0 116.0 55 86 211 NA NA 105 147 256 NA NA 7361 681 956 NA NA 7386 852 1296 NA NA
1476090000.0 117.0 57 93 212 NA NA 108 147 257 NA NA 10227 710 1005 NA NA 10396 936 1261 NA NA
1476090000.0 118.0 57 100 210 NA NA 104 147 258 NA NA 9277 701 1101 NA NA 9360 816 1377 NA NA
1476090000.0 119.0 52 84 210 NA NA 103 147 254 NA NA 5158 668 799 NA NA 5385 907 1087 NA NA
1476090000.0 12.0 NA 92 210 0 NA NA 160 262 0 NA NA 4243 4069 1139 NA NA 4457 4345 1277 NA
1476090000.0 120.0 49 82 206 NA NA 88 146 252 NA NA 985 605 655 NA NA 1000 787 882 NA NA
1476090000.0 121.0 55 94 209 NA NA 106 147 258 NA NA 9306 718 1113 NA NA 9472 891 1369 NA NA
1476090000.0 122.0 49 84 207 NA NA 95 146 252 NA NA 1315 314 610 NA NA 1343 423 880 NA NA
1476090000.0 123.1 204 NA NA NA NA 252 NA NA NA NA 1021 NA NA NA NA 1331 NA NA NA NA
1476090000.0 123.2 208 NA NA NA NA 256 NA NA NA NA 1320 NA NA NA NA 1696 NA NA NA NA
1476090000.0 123.3 190 NA NA NA NA 235 NA NA NA NA 778 NA NA NA NA 1059 NA NA NA NA
1476090000.0 124.1 201 NA NA NA NA 243 NA NA NA NA 779 NA NA NA NA 1106 NA NA NA NA
1476090000.0 124.2 204 NA NA NA NA 251 NA NA NA NA 977 NA NA NA NA 1306 NA NA NA NA
1476090000.0 124.4 199 NA NA NA NA 243 NA NA NA NA 776 NA NA NA NA 1030 NA NA NA NA
1476090000.0 124.5 201 NA NA NA NA 244 NA NA NA NA 809 NA NA NA NA 1084 NA NA NA NA
1476090000.0 124.6 192 NA NA NA NA 239 NA NA NA NA 800 NA NA NA NA 1115 NA NA NA NA
1476090000.0 125.0 54 84 211 NA NA 100 147 254 NA NA 6215 664 747 NA NA 6268 836 1068 NA NA
1476090000.0 126.0 49 95 208 NA NA 90 146 252 NA NA 2639 591 648 NA NA 3592 781 1151 NA NA
1476090000.0 127.0 51 95 209 NA NA 89 146 252 NA NA 2486 591 666 NA NA 2645 1075 2441 NA NA
1476090000.0 128.0 48 88 206 NA NA 83 146 252 NA NA 915 614 657 NA NA 1042 792 826 NA NA
1476090000.0 129.0 50 82 206 NA NA 83 146 252 NA NA 933 602 650 NA NA 1055 771 920 NA NA
1476090000.0 130.0 50 94 206 NA NA 85 146 252 NA NA 1143 600 651 NA NA 1446 803 962 NA NA
1476090000.0 1301.0 60 162 181 NA NA 99 218 217 NA NA 1804 821 704 NA NA 1991 1101 1547 NA NA
1476090000.0 1302.0 63 170 185 NA NA 104 218 220 NA NA 10415 1106 1033 NA NA 10651 1389 1315 NA NA
1476090000.0 1303.0 64 183 183 NA NA 106 218 223 NA NA 17350 1279 1568 NA NA 17495 1439 1950 NA NA
1476090000.0 131.0 48 90 207 NA NA 85 146 252 NA NA 2697 599 643 NA NA 3589 727 1281 NA NA
1476090000.0 1313.0 NA 210 269 0 NA NA 255 312 0 NA NA 1230 2257 2093 NA NA 1509 2559 2127 NA
1476090000.0 132.0 51 85 209 NA NA 100 146 255 NA NA 4807 653 800 NA NA 4954 778 1127 NA NA
1476090000.0 1325.0 NA 198 274 0 77 NA 252 309 0 111 NA 1204 1512 2256 188 NA 1491 1781 2468 364
1476090000.0 133.0 58 100 213 NA NA 103 147 260 NA NA 12441 729 1304 NA NA 12620 921 1650 NA NA
1476090000.0 1336.0 NA 196 267 0 NA NA 252 309 0 NA NA 2421 3641 2241 NA NA 2655 3941 2285 NA
1476090000.0 1337.0 NA 210 275 0 NA NA 255 315 0 NA NA 1872 2498 2244 NA NA 2067 2706 2282 NA
1476090000.0 1339.0 NA 210 259 0 NA NA 252 310 0 NA NA 1625 2104 2124 NA NA 1899 2549 2158 NA
1476090000.0 134.701 NA 43 248 0 NA NA 96 296 0 NA NA 203 8656 852 NA NA 333 8945 994 NA
1476090000.0 134.702 NA 48 242 0 NA NA 93 286 0 NA NA 235 11993 878 NA NA 349 12498 920 NA
1476090000.0 134.703 NA 51 247 0 NA NA 93 299 0 NA NA 244 11979 898 NA NA 268 12422 934 NA
1476090000.0 134.704 NA 40 240 0 NA NA 90 289 0 NA NA 242 11323 864 NA NA 356 11781 1124 NA
1476090000.0 134.705 NA 54 252 0 NA NA 95 298 0 NA NA 261 12613 899 NA NA 293 12969 938 NA
1476090000.0 134.706 NA 57 251 0 NA NA 95 297 0 NA NA 257 12825 914 NA NA 401 13200 1067 NA
1476090000.0 134.707 NA 45 245 0 NA NA 95 288 0 NA NA 242 11272 853 NA NA 351 11716 897 NA
1476090000.0 134.708 NA 52 246 0 NA NA 92 286 0 NA NA 245 10838 893 NA NA 314 11189 1055 NA
1476090000.0 134.709 NA 49 248 0 NA NA 96 306 0 NA NA 242 11859 865 NA NA 267 12250 913 NA
1476090000.0 134.801 NA 49 238 0 NA NA 93 286 0 NA NA 218 7861 828 NA NA 325 8195 867 NA
1476090000.0 134.802 NA 46 243 0 NA NA 94 291 0 NA NA 295 15428 849 NA NA 336 15689 998 NA
1476090000.0 134.803 NA 55 240 0 NA NA 94 289 0 NA NA 302 13480 872 NA NA 471 13997 1020 NA
