Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1476568800.0 136.724 203 275 0 254 314 0 11414 19965 1293 11680 20321 1329
1476568800.0 136.748 202 281 0 257 318 0 14086 31543 1266 14395 31850 1299
1476568800.0 136.753 206 277 0 255 322 0 12956 34923 1276 13109 35403 1312
1476568800.0 136.767 205 279 0 259 319 0 9001 34994 1303 9150 35494 1339
1476568800.0 250200.0 253 301 0 323 352 0 24479 4807 2267 25324 5075 2304
1476568800.0 250202.0 258 289 0 330 354 0 31709 5527 2364 32236 5762 2422
1476568800.0 250203.0 264 301 0 322 354 0 28155 4953 2499 29017 5418 2554
1476568800.0 250204.0 252 299 0 329 348 0 26818 5045 2268 28302 5409 2299
1476568800.0 250205.0 246 298 0 318 351 0 25294 4751 2263 27442 5060 2300
1476568800.0 250206.0 436 303 0 553 443 0 27296 5565 2617 28634 5802 2680
