Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1476608400.0 136.724 NA 203 272 0 NA 252 313 0 NA 10935 19881 1239 NA 11350 20398 1413
1476608400.0 136.726 NA 197 274 0 NA 250 312 0 NA 8797 18156 1317 NA 9122 18542 1354
1476608400.0 136.728 NA 245 281 0 NA 290 320 0 NA 8649 17694 1329 NA 9031 18151 1532
1476608400.0 136.748 NA 201 280 0 NA 257 316 0 NA 14092 32217 1273 NA 14407 32690 1424
1476608400.0 136.753 NA 205 272 0 NA 254 322 0 NA 13108 34562 1245 NA 13349 35094 1384
1476608400.0 136.767 NA 204 278 0 NA 257 320 0 NA 9240 35901 1317 NA 9480 36390 1475
1476608400.0 20826.0 98 NA NA NA 133 NA NA NA 39066 NA NA NA 39424 NA NA NA
1476608400.0 21226.0 99 NA NA NA 137 NA NA NA 38693 NA NA NA 39015 NA NA NA
1476608400.0 250200.0 NA 257 300 0 NA 327 350 0 NA 24664 4805 2223 NA 25817 5189 2386
1476608400.0 250202.0 NA 258 299 0 NA 330 355 0 NA 30862 5537 2432 NA 31415 5921 2482
1476608400.0 250203.0 NA 265 301 0 NA 322 354 0 NA 27888 4912 2343 NA 28530 5226 2375
1476608400.0 250204.0 NA 251 288 0 NA 329 348 0 NA 26971 4807 2260 NA 27595 5098 2420
1476608400.0 250205.0 NA 248 291 0 NA 318 348 0 NA 25353 4739 2273 NA 27930 4997 2319
1476608400.0 250206.0 NA 436 302 0 NA 556 442 0 NA 27248 5597 2536 NA 27856 5923 2690
1476608400.0 250207.0 NA 238 294 0 NA 311 348 0 NA 21854 4126 2200 NA 22830 4417 2244
